Date,Close,High,Low,Open,Volume,Daily_Return,Lag_1,Lag_3,Lag_7,Lag_30,MA_7,MA_30,EMA_7,EMA_30,ROC_7,ROC_30,Rolling_STD_7,Historical_Volatility_7,Historical_Volatility_30,Price_Range
2020-08-24,11774.595703125,11807.6318359375,11623.25,11663.689453125,20681511755.0,0.00940844236539995,11664.84765625,11592.4892578125,12254.40234375,9677.11328125,11763.092354910714,11531.621484375,11753.315100639873,11358.608961668771,-0.03915381812722274,0.21674670543942076,135.9258328831189,0.2973896357671786,0.5616803356464817,184.3818359375
2020-08-25,11366.134765625,11778.2998046875,11189.8505859375,11773.5888671875,26301509932.0,-0.034690018052305094,11774.595703125,11681.8251953125,11991.2333984375,9905.1669921875,11673.792550223214,11580.32041015625,11656.520016886156,11359.094497407883,-0.05212963604677667,0.14749552174030067,163.58524709320173,0.3508478638750221,0.5765731583991676,588.44921875
2020-08-26,11488.36328125,11530.052734375,11296.9931640625,11366.89453125,22466660958.0,0.010753745063331488,11366.134765625,11664.84765625,11758.283203125,10990.873046875,11635.23256138393,11596.90341796875,11614.480832977117,11367.434418946086,-0.022955725526602633,0.045263941477010405,171.9486515350969,0.3559422052488504,0.4371339803214742,233.0595703125
2020-08-27,11323.3974609375,11570.7861328125,11185.94140625,11485.6083984375,23240415076.0,-0.01435938403704018,11488.36328125,11774.595703125,11878.3720703125,10912.8232421875,11555.950474330357,11610.589225260417,11541.709989967212,11364.593324881016,-0.046721436749909695,0.03762309804146513,169.077298083765,0.34379380043772234,0.43970543958992037,384.8447265625
2020-08-28,11542.5,11545.615234375,11316.4228515625,11325.2958984375,19807127588.0,0.01934954061432026,11323.3974609375,11366.134765625,11592.4892578125,11100.4677734375,11548.809151785714,11625.3236328125,11541.90749247541,11376.071174888693,-0.004312210837617236,0.03982104498517147,168.33084462420402,0.3529782529330043,0.4407370828017978,229.1923828125
2020-08-29,11506.865234375,11585.640625,11466.29296875,11541.0546875,17485597759.0,-0.0030872658111327222,11542.5,11488.36328125,11681.8251953125,11111.2138671875,11523.814871651786,11638.51201171875,11533.146927950307,11384.509501307166,-0.014977108286786,0.03560829373970531,157.95815142400252,0.3463120242277555,0.4410327166699764,119.34765625
2020-08-30,11711.505859375,11715.2646484375,11492.3818359375,11508.7138671875,19760127945.0,0.017784220187846422,11506.865234375,11323.3974609375,11664.84765625,11323.466796875,11530.48032924107,11651.446647135417,11577.73666080648,11405.60604053735,0.0039998981984132875,0.03426857423268026,165.69617168912748,0.3748798609629946,0.4403911840194991,222.8828125
2020-08-31,11680.8203125,11768.876953125,11598.318359375,11713.306640625,22285928250.0,-0.0026201196706430174,11711.505859375,11542.5,11774.595703125,11759.5927734375,11517.08384486607,11648.8208984375,11603.507573729861,11423.361800018813,-0.007964213208620952,-0.006698570473922416,145.19232194984963,0.3679522884130143,0.41962096825410744,170.55859375
2020-09-01,11970.478515625,12067.0810546875,11601.12890625,11679.31640625,27311555343.0,0.024797762089964426,11680.8203125,11506.865234375,11366.134765625,11053.6142578125,11603.418666294643,11679.383040364582,11695.250309203646,11458.659652638567,0.05317055995392006,0.08294701049156616,206.99841196262363,0.275570492446623,0.36798898365212884,465.9521484375
2020-09-02,11414.0341796875,11964.8232421875,11290.7939453125,11964.8232421875,28037405299.0,-0.04648471948812871,11970.478515625,11711.505859375,11488.36328125,11246.3486328125,11592.800223214286,11684.97255859375,11624.946276824609,11455.78058986753,-0.006469947001398468,0.014910221294915038,215.61135488644527,0.4735297999316552,0.4020447442254022,674.029296875
